../jeu_100_25_4.txt_3_currentFirst	../jeu_100_25_4.txt_3_bestFirst	../jeu_100_25_4.txt_3_currentBest	../jeu_100_25_4.txt_3_bestBest	../jeu_100_75_2.txt_3_currentFirst	../jeu_100_75_2.txt_3_bestFirst	../jeu_100_75_2.txt_3_currentBest	../jeu_100_75_2.txt_3_bestBest	../jeu_200_25_8.txt_3_currentFirst	../jeu_200_25_8.txt_3_bestFirst	../jeu_200_25_8.txt_3_currentBest	../jeu_200_25_8.txt_3_bestBest	../jeu_200_75_5.txt_3_currentFirst	../jeu_200_75_5.txt_3_bestFirst	../jeu_200_75_5.txt_3_currentBest	../jeu_200_75_5.txt_3_bestBest	
18727.7	18727.7	28503.5	47815.5	0	47006.3	82543.7	115869	51748.7	60455.7	124008	124008	135078	175657	378122	386069	
18821.7	18821.7	31526.5	47815.5	264	47006.3	87039.7	115869	52035.7	60455.7	124008	124008	135108	175657	378522	386069	
18862.7	18862.7	32276.5	47815.5	1498	47006.3	88765.7	115869	52455.7	60455.7	124008	124008	137325	175657	380839	386069	
18946.7	18946.7	33202.5	47815.5	1546	47006.3	91449.7	115869	52480.7	60455.7	124008	124008	137602	175657	381273	386069	
0	18946.7	33946.5	47815.5	1762	47006.3	92197.7	115869	52623.7	60455.7	124008	124008	139227	175657	383179	386069	
0	18946.7	34536.5	47815.5	1953	47006.3	92827.7	115869	52666.7	60455.7	124008	124008	139482	175657	385226	386069	
100	18946.7	34988.5	47815.5	2168	47006.3	93377.7	115869	53395.7	60455.7	124008	124008	139773	175657	386764	386764	
304	18946.7	35619.5	47815.5	3468	47006.3	94482.7	115869	53567.7	60455.7	124008	124008	140996	175657	389144	389144	
470	18946.7	35948.5	47815.5	3802	47006.3	95709.7	115869	54123.7	60455.7	124008	124008	142468	175657	390682	390682	
848	18946.7	36330.5	47815.5	4725	47006.3	96662.7	115869	54189.7	60455.7	124008	124008	142525	175657	390682	390682	
952	18946.7	36961.5	47815.5	4860	47006.3	97858.7	115869	54319.7	60455.7	124008	124008	144492	175657	390682	390682	
1463	18946.7	37382.5	47815.5	5826	47006.3	98986.7	115869	54406.7	60455.7	124008	124008	144675	175657	390682	390682	
1825	18946.7	37764.5	47815.5	6155	47006.3	100047	115869	54533.7	60455.7	124008	124008	145196	175657	390682	390682	
1920	18946.7	38012.5	47815.5	6434	47006.3	101030	115869	54779.7	60455.7	124008	124008	147375	175657	390682	390682	
2126	18946.7	38473.5	47815.5	7511	47006.3	102144	115869	55028.7	60455.7	124008	124008	147636	175657	390682	390682	
2248	18946.7	38894.5	47815.5	7547	47006.3	103327	115869	55662.7	60455.7	124008	124008	148995	175657	390682	390682	
2461	18946.7	39225.5	47815.5	7941	47006.3	104441	115869	55792.7	60455.7	124008	124008	150999	175657	390682	390682	
