../jeu_100_75_2.txt_1000_best	../jeu_100_75_2.txt_1000_current	
-38.3025	-87.2	
-38.3025	-87.2	
-38.3025	-87.2	
-38.3025	-79	
-38.3025	-79	
-38.3025	-95.4	
-38.3025	-79	
-38.3025	-79	
-38.3025	-95.4	
-38.3025	-87.2	
-38.3025	-79	
-38.3025	-87.2	
-38.3025	-87.2	
-38.3025	-79	
-38.3025	-87.2	
-38.3025	-87.2	
-38.3025	-95.4	
-38.3025	-79	
-38.3025	-87.2	
-38.3025	-79	
-38.3025	-79	
-38.3025	-95.4	
-38.3025	-95.4	
-38.3025	-79	
-38.3025	-79	
-38.3025	-87.2	
-38.3025	-79	
-38.3025	-79	
-38.3025	-79	
-38.3025	-79	
-38.3025	-87.2	
-38.3025	-95.4	
-38.3025	-87.2	
-38.3025	-79	
-38.3025	-79	
-38.3025	-87.2	
-38.3025	-79	
-38.3025	-79	
-38.3025	-87.2	
-38.3025	-79	
-38.3025	-79	
-38.3025	-103.6	
-38.3025	-95.4	
-38.3025	-79	
-38.3025	-79	
-38.3025	-103.6	
-38.3025	-79	
-38.3025	-87.2	
-38.3025	-87.2	
-38.3025	-95.4	
-38.3025	-95.4	
-38.3025	-87.2	
-38.3025	-79	
-38.3025	-79	
-38.3025	-87.2	
-38.3025	-79	
-38.3025	-87.2	
-38.3025	-79	
-38.3025	-87.2	
-38.3025	-79	
-38.3025	-87.2	
-38.3025	-87.2	
-38.3025	-87.2	
-38.3025	-87.2	
-38.3025	-79	
-38.3025	-87.2	
-38.3025	-87.2	
-38.3025	-95.4	
-38.3025	-87.2	
-38.3025	-87.2	
-38.3025	-79	
-38.3025	-79	
-38.3025	-87.2	
-38.3025	-79	
-38.3025	-79	
-38.3025	-79	
-38.3025	-95.4	
-38.3025	-87.2	
-38.3025	-87.2	
-38.3025	-95.4	
-38.3025	-95.4	
-38.3025	-95.4	
-38.3025	-79	
-38.3025	-79	
-38.3025	-111.8	
-38.242	-79	
-38.242	-79	
-38.242	-79	
-38.242	-95.4	
-38.242	-95.4	
-38.242	-79	
-38.242	-87.2	
-38.242	-95.4	
-38.242	-79	
-38.242	-95.4	
-38.242	-79	
-38.242	-95.4	
-38.242	-79	
-38.242	-95.4	
-38.242	-79	
-38.242	-79	
-38.242	-87.2	
-38.242	-95.4	
-38.242	-79	
-38.242	-95.4	
-38.242	-79	
-38.242	-95.4	
-38.242	-95.4	
-38.242	-87.2	
-38.242	-87.2	
-38.242	-87.2	
-38.242	-87.2	
-38.242	-79	
-38.242	-87.2	
-38.242	-79	
-38.242	-79	
-38.242	-95.4	
-38.242	-87.2	
-38.242	-79	
-38.242	-87.2	
-38.242	-87.2	
-38.242	-87.2	
-38.242	-95.4	
-38.242	-79	
-38.242	-95.4	
-38.242	-87.2	
-38.242	-79	
-38.242	-87.2	
-38.242	-79	
-38.242	-95.4	
-38.242	-87.2	
-38.242	-95.4	
-38.242	-95.4	
-38.242	-95.4	
-38.242	-79	
-38.242	-103.6	
-38.242	-79	
-38.242	-79	
-38.242	-87.2	
-38.242	-87.2	
-38.242	-79	
-38.242	-79	
-38.242	-79	
-38.242	-87.2	
-38.242	-79	
-38.242	-87.2	
-38.242	-87.2	
-38.242	-79	
-38.242	-95.4	
-38.242	-79	
-38.242	-79	
-38.242	-79	
-38.242	-87.2	
-38.242	-79	
-38.242	-79	
-38.242	-87.2	
-38.242	-79	
-38.242	-95.4	
-38.1936	-79	
-38.1936	-87.2	
-38.1936	-79	
-38.1936	-79	
-38.1936	-95.4	
-38.1936	-79	
-38.1936	-87.2	
-38.1936	-79	
-38.1936	-87.2	
-38.1936	-79	
-38.1936	-87.2	
-38.1936	-79	
-38.1936	-79	
-38.1936	-87.2	
-38.1936	-79	
-38.1936	-87.2	
-38.1936	-87.2	
-38.1936	-87.2	
-38.1936	-79	
-38.1936	-87.2	
-38.1936	-95.4	
-38.1936	-95.4	
-38.1936	-95.4	
-38.1936	-79	
-38.1936	-79	
-38.1936	-95.4	
-38.1936	-95.4	
-38.1936	-79	
-38.1549	-70.8	
-38.1549	-95.4	
-38.1549	-87.2	
-38.1549	-87.2	
-38.1549	-95.4	
-38.1549	-95.4	
-38.1549	-79	
-38.1549	-95.4	
-38.1549	-87.2	
-38.1549	-79	
-38.1549	-79	
-38.1239	-70.8	
-38.1239	-103.6	
-38.1239	-87.2	
-38.1239	-87.2	
-38.1239	-79	
-38.1239	-79	
-38.1239	-79	
-38.1239	-87.2	
-38.1239	-79	
-38.1239	-79	
-38.1239	-95.4	
-38.1239	-87.2	
-38.1239	-79	
-38.1239	-95.4	
-38.1239	-95.4	
-38.1239	-87.2	
-38.1239	-79	
-38.1239	-79	
-38.1239	-87.2	
-38.1239	-79	
-38.1239	-87.2	
-38.1239	-87.2	
-38.1239	-87.2	
-38.1239	-95.4	
-38.1239	-79	
-38.1239	-103.6	
-38.1239	-87.2	
-38.1239	-87.2	
-38.1239	-87.2	
-38.1239	-87.2	
-38.1239	-79	
-38.1239	-79	
-38.1239	-87.2	
-38.1239	-87.2	
-38.1239	-87.2	
-38.1239	-79	
-38.1239	-79	
-38.1239	-87.2	
-38.1239	-103.6	
-38.1239	-79	
-38.1239	-87.2	
-38.1239	-95.4	
-38.1239	-87.2	
-38.1239	-87.2	
-38.1239	-79	
-38.1239	-87.2	
-38.1239	-87.2	
-38.1239	-79	
-38.1239	-79	
-38.1239	-95.4	
-38.1239	-79	
-38.1239	-79	
-38.1239	-79	
-38.1239	-79	
-38.1239	-87.2	
-38.0991	-70.8	
