../jeu_100_25_4.txt_3_currentGA	../jeu_100_25_4.txt_3_bestGA	../jeu_100_25_4.txt_3_currentACO	../jeu_100_25_4.txt_3_bestACO	
-7.73333	16104	726	726	
13396	16104	726	726	
12504	16104	556	726	
13904	16104	726	726	
12475	16104	726	726	
13725	16104	726	726	
-19.7333	16104	556	726	
-68.7333	16104	556	726	
-153.733	16104	726	726	
-143.733	16104	556	726	
11903	16104	726	726	
-172.733	16104	556	726	
13506	16104	726	726	
10503	16104	726	726	
13078	16104	556	726	
-80.7333	16104	556	726	
-18.7333	16104	556	726	
12016	16104	726	726	
-113.733	16104	556	726	
12390	16104	556	726	
-68.7333	16104	556	726	
13371	16104	556	726	
-13.7333	16104	556	726	
-32.7333	16104	726	726	
11978	16104	556	726	
-8.73333	16104	726	726	
-37.7333	16104	556	726	
-51.7333	16104	726	726	
12229	16104	726	726	
-53.7333	16104	726	726	
-84.7333	16104	556	726	
14544	16104	556	726	
-121.733	16104	726	726	
12780	16104	726	726	
13812	16104	556	726	
-24.7333	16104	726	726	
-2.73333	16104	726	726	
-42.7333	16104	726	726	
8508	16104	726	726	
11775	16104	556	726	
9869	16104	726	726	
12603	16104	556	726	
14650	16104	726	726	
10612	16104	556	726	
11851	16104	726	726	
12020	16104	556	726	
-21.7333	16104	726	726	
-76.7333	16104	556	726	
-33.7333	16104	556	726	
-84.7333	16104	726	726	
12554	16104	556	726	
-59.7333	16104	556	726	
12242	16104	726	726	
-26.7333	16104	556	726	
12110	16104	726	726	
13303	16104	726	726	
14705	16104	556	726	
11492	16104	556	726	
11131	16104	726	726	
-136.733	16104	556	726	
-58.7333	16104	726	726	
-48.7333	16104	726	726	
12116	16104	726	726	
-201.733	16104	726	726	
-54.7333	16104	726	726	
12719	16104	726	726	
-25.7333	16104	726	726	
13098	16104	556	726	
-71.7333	16104	556	726	
13189	16104	726	726	
-68.7333	16104	726	726	
-92.7333	16104	726	726	
-7.73333	16104	726	726	
14073	16104	726	726	
10597	16104	556	726	
-89.7333	16104	556	726	
13240	16104	726	726	
-49.7333	16104	726	726	
-4.73333	16104	726	726	
-20.7333	16104	556	726	
12389	16104	726	726	
13812	16104	556	726	
12288	16104	556	726	
13364	16104	556	726	
-77.7333	16104	556	726	
12108	16104	556	726	
10623	16104	726	726	
13502	16104	726	726	
-85.7333	16104	556	726	
-78.7333	16104	726	726	
-91.7333	16104	726	726	
-24.7333	16104	726	726	
10778	16104	726	726	
11090	16104	726	726	
12411	16104	556	726	
-196.733	16104	556	726	
-5.73333	16104	556	726	
-39.7333	16104	726	726	
10821	16104	726	726	
14870	16104	726	726	
13468	16104	726	726	
-18.7333	16104	556	726	
12407	16104	726	726	
12125	16104	726	726	
10822	16104	556	726	
10632	16104	556	726	
11060	16104	726	726	
11847	16104	556	726	
13098	16104	556	726	
-64.7333	16104	726	726	
10125	16104	726	726	
11377	16104	556	726	
12958	16104	556	726	
-79.7333	16104	726	726	
-73.7333	16104	726	726	
-14.7333	16104	726	726	
-65.7333	16104	556	726	
15365	16104	556	726	
-17.7333	16104	556	726	
11226	16104	726	726	
12265	16104	556	726	
-2.73333	16104	556	726	
-41.7333	16104	556	726	
13576	16104	726	726	
-58.7333	16104	726	726	
12767	16104	726	726	
11657	16104	556	726	
10425	16104	726	726	
12257	16104	726	726	
13636	16104	556	726	
-59.7333	16104	556	726	
14200	16104	726	726	
10977	16104	726	726	
-1.73333	16104	556	726	
11256	16104	726	726	
13166	16104	726	726	
11918	16104	556	726	
12954	16104	726	726	
-17.7333	16104	556	726	
12955	16104	556	726	
-65.7333	16104	726	726	
-136.733	16104	726	726	
13009	16104	556	726	
12604	16104	556	726	
-37.7333	16104	556	726	
9828	16104	726	726	
11954	16104	726	726	
-106.733	16104	556	726	
-13.7333	16104	556	726	
11546	16104	726	726	
13417	16104	726	726	
-224.733	16104	726	726	
11978	16104	556	726	
12411	16104	726	726	
-73.7333	16104	556	726	
14026	16104	556	726	
12499	16104	726	726	
-50.7333	16104	556	726	
10105	16104	556	726	
11154	16104	556	726	
10504	16104	556	726	
10900	16104	556	726	
11050	16104	726	726	
-90.7333	16104	556	726	
14972	16104	556	726	
14152	16104	726	726	
12190	16104	556	726	
13429	16104	556	726	
-91.7333	16104	726	726	
13003	16104	726	726	
12951	16104	556	726	
-32.7333	16104	556	726	
12068	16104	726	726	
-67.7333	16104	726	726	
12914	16104	556	726	
-71.7333	16104	556	726	
12306	16104	726	726	
12159	16104	726	726	
12495	16104	556	726	
-24.7333	16104	726	726	
-25.7333	16104	726	726	
16104	16104	726	726	
12080	16104	556	726	
11350	16104	556	726	
12199	16104	726	726	
-123.733	16104	556	726	
14031	16104	726	726	
13176	16104	556	726	
-57.7333	16104	556	726	
11898	16104	556	726	
-96.7333	16104	556	726	
12648	16104	556	726	
13051	16104	556	726	
11345	16104	726	726	
12640	16104	726	726	
-0.733333	16104	726	726	
13033	16104	556	726	
10607	16104	726	726	
-148.733	16104	556	726	
-203.733	16104	556	726	
13809	16104	556	726	
11579	16104	556	726	
-117.733	16104	556	726	
11028	16104	556	726	
-3.73333	16104	726	726	
13331	16104	556	726	
-39.7333	16104	726	726	
-72.7333	16104	726	726	
-1.73333	16104	726	726	
12256	16104	726	726	
-52.7333	16104	726	726	
-122.733	16104	556	726	
-33.7333	16104	556	726	
12293	16104	726	726	
-14.7333	16104	726	726	
-88.7333	16104	726	726	
-145.733	16104	556	726	
12758	16104	556	726	
12215	16104	556	726	
11821	16104	556	726	
-30.7333	16104	726	726	
13303	16104	726	726	
-131.733	16104	726	726	
-24.7333	16104	726	726	
13416	16104	726	726	
10739	16104	556	726	
11852	16104	556	726	
10820	16104	556	726	
12480	16104	726	726	
-101.733	16104	726	726	
-12.7333	16104	556	726	
10630	16104	726	726	
-44.7333	16104	556	726	
-87.7333	16104	556	726	
13922	16104	726	726	
-136.733	16104	726	726	
-35.7333	16104	556	726	
12686	16104	726	726	
-70.7333	16104	726	726	
-65.7333	16104	726	726	
-131.733	16104	556	726	
-91.7333	16104	726	726	
-140.733	16104	556	726	
11079	16104	556	726	
-5.73333	16104	726	726	
